sample,long,lat,site_number,mix,mix2
KIZ_YXBL017,107.621434,33.394643,2,davidi_pure_2,davidi_pure
KIZ_YXBL020,107.621434,33.394643,2,davidi_pure_2,davidi_pure
KIZ_YXBL022,107.621434,33.394643,2,davidi_pure_2,davidi_pure
KIZ_YXBL024,107.621434,33.394643,2,davidi_pure_2,davidi_pure
KIZ_YXBL028,107.621434,33.394643,2,davidi_pure_2,davidi_pure
KIZ_YXBL100,107.621434,33.394643,2,davidi_pure_2,davidi_pure
KIZ_YXBL101,107.621434,33.394643,2,davidi_pure_2,davidi_pure
KIZ_YXBL102,107.621434,33.394643,2,davidi_pure_2,davidi_pure
SX271,107.621434,33.394643,2,davidi_pure_2,davidi_pure
SNJ08183,110.4476,31.4359,3,davidi_pure_3,davidi_pure
SNJ08585,110.4476,31.4359,3,davidi_pure_3,davidi_pure
AHJX22,118.539567,30.206138,5,hueti_pure_5,hueti_pure
AHJX23,118.539567,30.206138,5,hueti_pure_5,hueti_pure
AHJX24,118.539567,30.206138,5,hueti_pure_5,hueti_pure
KIZ_HYWW019,103.093516,29.634286,8,davidi_pure_8,davidi_pure
KIZ_HYWW021,103.093516,29.634286,8,davidi_pure_8,davidi_pure
KIZ_HYWW022,103.093516,29.634286,8,davidi_pure_8,davidi_pure
KIZ_HYWW024,103.093516,29.634286,8,davidi_pure_8,davidi_pure
sc052,103.093516,29.634286,8,davidi_pure_8,davidi_pure
SCLD182,103.093516,29.634286,8,davidi_pure_8,davidi_pure
ZJXJ01,120.45487,28.52198,10,hueti_pure_10,hueti_pure
ZJXJ02,120.45487,28.52198,10,hueti_pure_10,hueti_pure
GZ10044,107.156388,28.222778,11,davidi_pure_11,davidi_pure
GZ10120,107.156388,28.222778,11,davidi_pure_11,davidi_pure
GZ10150,107.156388,28.222778,11,davidi_pure_11,davidi_pure
sc09369,101.55,27.1,14,fratercula_pure_14,fratercula_pure
sch026,101.55,27.1,14,fratercula_pure_14,fratercula_pure
sch027,101.55,27.1,14,fratercula_pure_14,fratercula_pure
sch077,101.55,27.1,14,fratercula_pure_14,fratercula_pure
sch177,101.55,27.1,14,fratercula_pure_14,fratercula_pure
sch178,101.55,27.1,14,fratercula_pure_14,fratercula_pure
sch418,101.55,27.1,14,fratercula_pure_14,fratercula_pure
sch451,101.55,27.1,14,fratercula_pure_14,fratercula_pure
sch533,101.55,27.1,14,fratercula_pure_14,fratercula_pure
FJ282,117.293223,26.53075,18,hueti_pure_18,hueti_pure
FJ283,117.293223,26.53075,18,hueti_pure_18,hueti_pure
FJ285,117.293223,26.53075,18,hueti_pure_18,hueti_pure
FJ366,117.293223,26.53075,18,hueti_pure_18,hueti_pure
FJ367,117.293223,26.53075,18,hueti_pure_18,hueti_pure
FJ369,117.293223,26.53075,18,hueti_pure_18,hueti_pure
lx-150,98.790253,25.309131,21,fratercula_pure_21,fratercula_pure
lx-161,98.790253,25.309131,21,fratercula_pure_21,fratercula_pure
YN039,98.790253,25.309131,21,fratercula_pure_21,fratercula_pure
YN063,98.790253,25.309131,21,fratercula_pure_21,fratercula_pure
YN089,98.790253,25.309131,21,fratercula_pure_21,fratercula_pure
YN102,98.790253,25.309131,21,fratercula_pure_21,fratercula_pure
YN155,98.790253,25.309131,21,fratercula_pure_21,fratercula_pure
YN162,98.790253,25.309131,21,fratercula_pure_21,fratercula_pure
YN195,98.790253,25.309131,21,fratercula_pure_21,fratercula_pure
gx09254,104.87199,24.654003,24,davidi_hybrid_24,davidi_hybrid
gx09273,104.87199,24.654003,24,davidi_hybrid_24,davidi_hybrid
KIZ_621605,110.315387,24.025654,25,hueti_hybrid_25,hueti_hybrid
KIZ_621606,110.315387,24.025654,25,hueti_hybrid_25,hueti_hybrid
KIZ_621607,110.315387,24.025654,25,hueti_hybrid_25,hueti_hybrid
KIZ_621668,110.315387,24.025654,25,hueti_hybrid_25,hueti_hybrid
KIZ_621669,110.315387,24.025654,25,hueti_hybrid_25,hueti_hybrid
KIZ_621677,110.315387,24.025654,25,hueti_hybrid_25,hueti_hybrid
gx09159,107.840614,22.825483,26,davidi_hybrid_26,davidi_hybrid
gx09160,107.840614,22.825483,26,davidi_hybrid_26,davidi_hybrid
gx09161,107.840614,22.825483,26,davidi_hybrid_26,davidi_hybrid
NG070205,106.960835,22.467901,27,davidi_hybrid_27,davidi_hybrid
NG070211,106.960835,22.467901,27,davidi_hybrid_27,davidi_hybrid
NG070213,106.960835,22.467901,27,davidi_hybrid_27,davidi_hybrid
NG070219,106.960835,22.467901,27,davidi_hybrid_27,davidi_hybrid
