scaffold,start,end,pair,direction,loci
HiC_scaffold_3,18575000,18576000,hueti_davidi,2,HiC_scaffold_3:18575382
HiC_scaffold_3,53129000,53130000,hueti_davidi,2,HiC_scaffold_3:53129350
HiC_scaffold_3,54737000,54738000,hueti_davidi,2,HiC_scaffold_3:54737571
HiC_scaffold_3,54744000,54745000,hueti_davidi,2,HiC_scaffold_3:54744947
HiC_scaffold_3,60152000,60153000,hueti_davidi,1,HiC_scaffold_3:60152834
HiC_scaffold_3,61427000,61428000,hueti_davidi,1,HiC_scaffold_3:61427948
HiC_scaffold_3,61598000,61599000,hueti_davidi,2,HiC_scaffold_3:61598956
HiC_scaffold_3,62226000,62227000,hueti_davidi,2,HiC_scaffold_3:62226053
HiC_scaffold_3,66238000,66239000,hueti_davidi,2,HiC_scaffold_3:66238983
HiC_scaffold_3,66241000,66242000,hueti_davidi,1,HiC_scaffold_3:66241999
HiC_scaffold_3,71974000,71975000,hueti_davidi,2,HiC_scaffold_3:71975000
HiC_scaffold_3,71975000,71976000,hueti_davidi,2,HiC_scaffold_3:71975000
HiC_scaffold_3,72323000,72324000,hueti_davidi,1,HiC_scaffold_3:72323954
HiC_scaffold_3,73349000,73350000,hueti_davidi,1,HiC_scaffold_3:73349250
HiC_scaffold_3,77513000,77514000,hueti_davidi,1,HiC_scaffold_3:77513884
HiC_scaffold_3,77793000,77794000,hueti_davidi,2,HiC_scaffold_3:77793946
HiC_scaffold_3,77912000,77913000,hueti_davidi,1,HiC_scaffold_3:77912584
HiC_scaffold_3,77924000,77925000,hueti_davidi,1,HiC_scaffold_3:77924300
HiC_scaffold_3,77924000,77925000,hueti_davidi,1,HiC_scaffold_3:77924492
HiC_scaffold_3,79799000,79800000,hueti_davidi,2,HiC_scaffold_3:79799477
HiC_scaffold_3,79799000,79800000,hueti_davidi,2,HiC_scaffold_3:79799647
HiC_scaffold_3,80341000,80342000,hueti_davidi,2,HiC_scaffold_3:80341286
HiC_scaffold_3,80362000,80363000,hueti_davidi,1,HiC_scaffold_3:80362579
HiC_scaffold_3,81477000,81478000,hueti_davidi,1,HiC_scaffold_3:81477810
HiC_scaffold_3,81606000,81607000,hueti_davidi,1,HiC_scaffold_3:81606110
HiC_scaffold_3,81607000,81608000,hueti_davidi,1,HiC_scaffold_3:81607061
HiC_scaffold_3,81607000,81608000,hueti_davidi,1,HiC_scaffold_3:81607742
HiC_scaffold_3,86241000,86242000,hueti_davidi,1,HiC_scaffold_3:86241166
HiC_scaffold_3,86241000,86242000,hueti_davidi,1,HiC_scaffold_3:86241170
HiC_scaffold_3,86241000,86242000,hueti_davidi,1,HiC_scaffold_3:86241224
HiC_scaffold_3,86316000,86317000,hueti_davidi,1,HiC_scaffold_3:86316956
HiC_scaffold_3,86319000,86320000,hueti_davidi,1,HiC_scaffold_3:86319738
HiC_scaffold_3,86351000,86352000,hueti_davidi,1,HiC_scaffold_3:86351297
HiC_scaffold_3,86358000,86359000,hueti_davidi,1,HiC_scaffold_3:86358824
HiC_scaffold_3,86361000,86362000,hueti_davidi,1,HiC_scaffold_3:86361198
HiC_scaffold_3,86361000,86362000,hueti_davidi,1,HiC_scaffold_3:86361370
HiC_scaffold_3,86361000,86362000,hueti_davidi,1,HiC_scaffold_3:86361864
HiC_scaffold_3,86363000,86364000,hueti_davidi,1,HiC_scaffold_3:86363081
HiC_scaffold_3,86413000,86414000,hueti_davidi,1,HiC_scaffold_3:86413087
HiC_scaffold_3,86433000,86434000,hueti_davidi,2,HiC_scaffold_3:86433116
HiC_scaffold_3,86447000,86448000,hueti_davidi,2,HiC_scaffold_3:86447641
HiC_scaffold_3,86537000,86538000,hueti_davidi,2,HiC_scaffold_3:86537115
HiC_scaffold_3,86583000,86584000,hueti_davidi,2,HiC_scaffold_3:86583442
HiC_scaffold_3,86583000,86584000,hueti_davidi,2,HiC_scaffold_3:86583468
HiC_scaffold_3,86583000,86584000,hueti_davidi,2,HiC_scaffold_3:86583508
HiC_scaffold_3,86583000,86584000,hueti_davidi,2,HiC_scaffold_3:86583522
HiC_scaffold_3,86583000,86584000,hueti_davidi,2,HiC_scaffold_3:86583531
HiC_scaffold_3,86593000,86594000,hueti_davidi,2,HiC_scaffold_3:86593692
HiC_scaffold_3,86613000,86614000,hueti_davidi,2,HiC_scaffold_3:86613458
HiC_scaffold_3,86619000,86620000,hueti_davidi,2,HiC_scaffold_3:86619285
HiC_scaffold_3,86631000,86632000,hueti_davidi,1,HiC_scaffold_3:86631523
HiC_scaffold_3,86674000,86675000,hueti_davidi,2,HiC_scaffold_3:86674617
HiC_scaffold_3,86674000,86675000,hueti_davidi,2,HiC_scaffold_3:86674643
