scaffold,start,end,status,loci,set
HiC_scaffold_3,18575000,18576000,2,HiC_scaffold_3:18575382,east_cent
HiC_scaffold_3,53129000,53130000,2,HiC_scaffold_3:53129350,east_cent
HiC_scaffold_3,54737000,54738000,2,HiC_scaffold_3:54737571,east_cent
HiC_scaffold_3,54744000,54745000,2,HiC_scaffold_3:54744947,east_cent
HiC_scaffold_3,60152000,60153000,1,HiC_scaffold_3:60152834,east_cent
HiC_scaffold_3,61427000,61428000,1,HiC_scaffold_3:61427948,east_cent
HiC_scaffold_3,61598000,61599000,2,HiC_scaffold_3:61598956,east_cent
HiC_scaffold_3,62226000,62227000,2,HiC_scaffold_3:62226053,east_cent
HiC_scaffold_3,66238000,66239000,2,HiC_scaffold_3:66238983,east_cent
HiC_scaffold_3,66241000,66242000,1,HiC_scaffold_3:66241999,east_cent
HiC_scaffold_3,71974000,71975000,2,HiC_scaffold_3:71975000,east_cent
HiC_scaffold_3,71975000,71976000,2,HiC_scaffold_3:71975000,east_cent
HiC_scaffold_3,72323000,72324000,1,HiC_scaffold_3:72323954,east_cent
HiC_scaffold_3,73349000,73350000,1,HiC_scaffold_3:73349250,east_cent
HiC_scaffold_3,77513000,77514000,1,HiC_scaffold_3:77513884,east_cent
HiC_scaffold_3,77793000,77794000,2,HiC_scaffold_3:77793946,east_cent
HiC_scaffold_3,77912000,77913000,1,HiC_scaffold_3:77912584,east_cent
HiC_scaffold_3,77924000,77925000,1,HiC_scaffold_3:77924300,east_cent
HiC_scaffold_3,77924000,77925000,1,HiC_scaffold_3:77924492,east_cent
HiC_scaffold_3,79799000,79800000,2,HiC_scaffold_3:79799477,east_cent
HiC_scaffold_3,79799000,79800000,2,HiC_scaffold_3:79799647,east_cent
HiC_scaffold_3,80341000,80342000,2,HiC_scaffold_3:80341286,east_cent
HiC_scaffold_3,80362000,80363000,1,HiC_scaffold_3:80362579,east_cent
HiC_scaffold_3,81477000,81478000,1,HiC_scaffold_3:81477810,east_cent
HiC_scaffold_3,81606000,81607000,1,HiC_scaffold_3:81606110,east_cent
HiC_scaffold_3,81607000,81608000,1,HiC_scaffold_3:81607061,east_cent
HiC_scaffold_3,81607000,81608000,1,HiC_scaffold_3:81607742,east_cent
HiC_scaffold_3,86241000,86242000,1,HiC_scaffold_3:86241166,east_cent
HiC_scaffold_3,86241000,86242000,1,HiC_scaffold_3:86241170,east_cent
HiC_scaffold_3,86241000,86242000,1,HiC_scaffold_3:86241224,east_cent
HiC_scaffold_3,86316000,86317000,1,HiC_scaffold_3:86316956,east_cent
HiC_scaffold_3,86319000,86320000,1,HiC_scaffold_3:86319738,east_cent
HiC_scaffold_3,86351000,86352000,1,HiC_scaffold_3:86351297,east_cent
HiC_scaffold_3,86358000,86359000,1,HiC_scaffold_3:86358824,east_cent
HiC_scaffold_3,86361000,86362000,1,HiC_scaffold_3:86361198,east_cent
HiC_scaffold_3,86361000,86362000,1,HiC_scaffold_3:86361370,east_cent
HiC_scaffold_3,86361000,86362000,1,HiC_scaffold_3:86361864,east_cent
HiC_scaffold_3,86363000,86364000,1,HiC_scaffold_3:86363081,east_cent
HiC_scaffold_3,86413000,86414000,1,HiC_scaffold_3:86413087,east_cent
HiC_scaffold_3,86433000,86434000,2,HiC_scaffold_3:86433116,east_cent
HiC_scaffold_3,86447000,86448000,2,HiC_scaffold_3:86447641,east_cent
HiC_scaffold_3,86537000,86538000,2,HiC_scaffold_3:86537115,east_cent
HiC_scaffold_3,86583000,86584000,2,HiC_scaffold_3:86583442,east_cent
HiC_scaffold_3,86583000,86584000,2,HiC_scaffold_3:86583468,east_cent
HiC_scaffold_3,86583000,86584000,2,HiC_scaffold_3:86583508,east_cent
HiC_scaffold_3,86583000,86584000,2,HiC_scaffold_3:86583522,east_cent
HiC_scaffold_3,86583000,86584000,2,HiC_scaffold_3:86583531,east_cent
HiC_scaffold_3,86593000,86594000,2,HiC_scaffold_3:86593692,east_cent
HiC_scaffold_3,86613000,86614000,2,HiC_scaffold_3:86613458,east_cent
HiC_scaffold_3,86619000,86620000,2,HiC_scaffold_3:86619285,east_cent
HiC_scaffold_3,86631000,86632000,1,HiC_scaffold_3:86631523,east_cent
HiC_scaffold_3,86674000,86675000,2,HiC_scaffold_3:86674617,east_cent
HiC_scaffold_3,86674000,86675000,2,HiC_scaffold_3:86674643,east_cent
HiC_scaffold_3,86679000,86680000,2,HiC_scaffold_3:86679196,east_cent
HiC_scaffold_3,86679000,86680000,2,HiC_scaffold_3:86679491,east_cent
HiC_scaffold_3,86679000,86680000,2,HiC_scaffold_3:86679492,east_cent
HiC_scaffold_3,86750000,86751000,2,HiC_scaffold_3:86750384,east_cent
HiC_scaffold_3,86753000,86754000,2,HiC_scaffold_3:86753181,east_cent
HiC_scaffold_3,86976000,86977000,2,HiC_scaffold_3:86976613,east_cent
HiC_scaffold_3,86976000,86977000,2,HiC_scaffold_3:86976952,east_cent
HiC_scaffold_3,86977000,86978000,2,HiC_scaffold_3:86977020,east_cent
HiC_scaffold_3,86977000,86978000,2,HiC_scaffold_3:86977039,east_cent
HiC_scaffold_3,86978000,86979000,2,HiC_scaffold_3:86978245,east_cent
HiC_scaffold_3,86984000,86985000,2,HiC_scaffold_3:86984599,east_cent
HiC_scaffold_3,86987000,86988000,2,HiC_scaffold_3:86987269,east_cent
HiC_scaffold_3,86987000,86988000,2,HiC_scaffold_3:86987281,east_cent
HiC_scaffold_3,86989000,86990000,2,HiC_scaffold_3:86989317,east_cent
HiC_scaffold_3,86989000,86990000,2,HiC_scaffold_3:86989517,east_cent
HiC_scaffold_3,87941000,87942000,1,HiC_scaffold_3:87941800,east_cent
HiC_scaffold_3,87943000,87944000,1,HiC_scaffold_3:87943974,east_cent
HiC_scaffold_3,91402000,91403000,2,HiC_scaffold_3:91402402,east_cent
HiC_scaffold_3,91419000,91420000,2,HiC_scaffold_3:91419147,east_cent
HiC_scaffold_3,91419000,91420000,2,HiC_scaffold_3:91419218,east_cent
HiC_scaffold_3,92315000,92316000,1,HiC_scaffold_3:92315816,east_cent
HiC_scaffold_3,92493000,92494000,2,HiC_scaffold_3:92493843,east_cent
HiC_scaffold_4,13676000,13677000,1,HiC_scaffold_4:13676784,east_cent
HiC_scaffold_4,16187000,16188000,2,HiC_scaffold_4:16187373,east_cent
HiC_scaffold_4,23567000,23568000,2,HiC_scaffold_4:23567094,east_cent
HiC_scaffold_4,27255000,27256000,2,HiC_scaffold_4:27255301,east_cent
HiC_scaffold_4,27373000,27374000,2,HiC_scaffold_4:27373779,east_cent
HiC_scaffold_4,27378000,27379000,2,HiC_scaffold_4:27378264,east_cent
HiC_scaffold_4,27476000,27477000,2,HiC_scaffold_4:27476582,east_cent
HiC_scaffold_4,28592000,28593000,1,HiC_scaffold_4:28592874,east_cent
HiC_scaffold_5,23140000,23141000,2,HiC_scaffold_5:23140230,east_cent
HiC_scaffold_5,23149000,23150000,2,HiC_scaffold_5:23149474,east_cent
HiC_scaffold_5,23408000,23409000,2,HiC_scaffold_5:23408908,east_cent
HiC_scaffold_5,23411000,23412000,2,HiC_scaffold_5:23411487,east_cent
HiC_scaffold_5,23411000,23412000,2,HiC_scaffold_5:23411750,east_cent
HiC_scaffold_5,23412000,23413000,2,HiC_scaffold_5:23412882,east_cent
HiC_scaffold_5,23417000,23418000,2,HiC_scaffold_5:23417838,east_cent
HiC_scaffold_5,23417000,23418000,2,HiC_scaffold_5:23417887,east_cent
HiC_scaffold_5,23911000,23912000,2,HiC_scaffold_5:23911276,east_cent
HiC_scaffold_5,23917000,23918000,2,HiC_scaffold_5:23917732,east_cent
HiC_scaffold_5,23923000,23924000,2,HiC_scaffold_5:23923452,east_cent
HiC_scaffold_5,24702000,24703000,1,HiC_scaffold_5:24702961,east_cent
HiC_scaffold_5,24704000,24705000,1,HiC_scaffold_5:24704648,east_cent
HiC_scaffold_5,25495000,25496000,1,HiC_scaffold_5:25495923,east_cent
HiC_scaffold_5,26282000,26283000,2,HiC_scaffold_5:26282655,east_cent
HiC_scaffold_5,26285000,26286000,2,HiC_scaffold_5:26285695,east_cent
HiC_scaffold_5,26316000,26317000,1,HiC_scaffold_5:26316808,east_cent
HiC_scaffold_5,26603000,26604000,1,HiC_scaffold_5:26603271,east_cent
HiC_scaffold_5,26807000,26808000,1,HiC_scaffold_5:26807069,east_cent
HiC_scaffold_5,26869000,26870000,1,HiC_scaffold_5:26869807,east_cent
HiC_scaffold_5,28840000,28841000,2,HiC_scaffold_5:28840930,east_cent
HiC_scaffold_5,28840000,28841000,2,HiC_scaffold_5:28840932,east_cent
HiC_scaffold_5,28866000,28867000,2,HiC_scaffold_5:28866143,east_cent
HiC_scaffold_5,28868000,28869000,2,HiC_scaffold_5:28868331,east_cent
HiC_scaffold_5,28949000,28950000,2,HiC_scaffold_5:28949246,east_cent
HiC_scaffold_5,28989000,28990000,2,HiC_scaffold_5:28989566,east_cent
HiC_scaffold_5,32544000,32545000,2,HiC_scaffold_5:32544325,east_cent
HiC_scaffold_5,32545000,32546000,2,HiC_scaffold_5:32545020,east_cent
HiC_scaffold_5,32595000,32596000,2,HiC_scaffold_5:32595636,east_cent
HiC_scaffold_5,32598000,32599000,2,HiC_scaffold_5:32598820,east_cent
HiC_scaffold_5,34312000,34313000,2,HiC_scaffold_5:34312096,east_cent
HiC_scaffold_5,34388000,34389000,2,HiC_scaffold_5:34388147,east_cent
HiC_scaffold_5,35271000,35272000,1,HiC_scaffold_5:35271249,east_cent
HiC_scaffold_5,39152000,39153000,2,HiC_scaffold_5:39152216,east_cent
HiC_scaffold_5,39152000,39153000,2,HiC_scaffold_5:39152888,east_cent
HiC_scaffold_5,39153000,39154000,2,HiC_scaffold_5:39153852,east_cent
HiC_scaffold_5,44149000,44150000,2,HiC_scaffold_5:44149503,east_cent
HiC_scaffold_5,46250000,46251000,2,HiC_scaffold_5:46250036,east_cent
HiC_scaffold_5,47399000,47400000,2,HiC_scaffold_5:47399315,east_cent
HiC_scaffold_5,57132000,57133000,2,HiC_scaffold_5:57132906,east_cent
HiC_scaffold_5,57132000,57133000,2,HiC_scaffold_5:57132962,east_cent
HiC_scaffold_5,57140000,57141000,2,HiC_scaffold_5:57140405,east_cent
HiC_scaffold_5,57140000,57141000,2,HiC_scaffold_5:57140431,east_cent
HiC_scaffold_5,57155000,57156000,2,HiC_scaffold_5:57155570,east_cent
HiC_scaffold_5,57166000,57167000,2,HiC_scaffold_5:57166052,east_cent
HiC_scaffold_5,57169000,57170000,2,HiC_scaffold_5:57169172,east_cent
HiC_scaffold_5,57183000,57184000,2,HiC_scaffold_5:57183184,east_cent
HiC_scaffold_5,57200000,57201000,2,HiC_scaffold_5:57200065,east_cent
HiC_scaffold_5,105663000,105664000,1,HiC_scaffold_5:105663830,east_cent
HiC_scaffold_5,106618000,106619000,2,HiC_scaffold_5:106618418,east_cent
HiC_scaffold_5,108973000,108974000,1,HiC_scaffold_5:108973366,east_cent
HiC_scaffold_5,111202000,111203000,2,HiC_scaffold_5:111202481,east_cent
HiC_scaffold_5,111969000,111970000,1,HiC_scaffold_5:111969124,east_cent
HiC_scaffold_5,111995000,111996000,1,HiC_scaffold_5:111995829,east_cent
HiC_scaffold_5,111995000,111996000,1,HiC_scaffold_5:111995976,east_cent
HiC_scaffold_5,112044000,112045000,2,HiC_scaffold_5:112044179,east_cent
HiC_scaffold_5,112077000,112078000,1,HiC_scaffold_5:112077003,east_cent
HiC_scaffold_5,112077000,112078000,1,HiC_scaffold_5:112077811,east_cent
HiC_scaffold_5,112724000,112725000,2,HiC_scaffold_5:112724172,east_cent
HiC_scaffold_5,122342000,122343000,1,HiC_scaffold_5:122342654,east_cent
HiC_scaffold_5,124460000,124461000,2,HiC_scaffold_5:124460570,east_cent
HiC_scaffold_5,135676000,135677000,2,HiC_scaffold_5:135676723,east_cent
HiC_scaffold_5,135900000,135901000,2,HiC_scaffold_5:135900905,east_cent
HiC_scaffold_5,135993000,135994000,2,HiC_scaffold_5:135993104,east_cent
HiC_scaffold_5,135994000,135995000,2,HiC_scaffold_5:135994179,east_cent
HiC_scaffold_5,135994000,135995000,2,HiC_scaffold_5:135994237,east_cent
HiC_scaffold_5,135995000,135996000,2,HiC_scaffold_5:135995775,east_cent
HiC_scaffold_5,135997000,135998000,2,HiC_scaffold_5:135997663,east_cent
HiC_scaffold_5,136069000,136070000,2,HiC_scaffold_5:136069158,east_cent
HiC_scaffold_5,136069000,136070000,2,HiC_scaffold_5:136069227,east_cent
HiC_scaffold_6,21028000,21029000,1,HiC_scaffold_6:21028510,east_cent
HiC_scaffold_6,25780000,25781000,2,HiC_scaffold_6:25780114,east_cent
HiC_scaffold_6,25827000,25828000,1,HiC_scaffold_6:25827602,east_cent
HiC_scaffold_6,25872000,25873000,2,HiC_scaffold_6:25872302,east_cent
HiC_scaffold_6,26051000,26052000,1,HiC_scaffold_6:26051595,east_cent
HiC_scaffold_6,26074000,26075000,1,HiC_scaffold_6:26074610,east_cent
